0	1
1	1
2	2
3	1
4	1
5	1
6	2
7	1
8	1
9	1
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	2
30	1
31	2
32	1
33	1
34	2
35	1
36	1
37	1
38	1
39	1
40	1
41	2
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	1
51	1
52	1
53	2
54	1
55	2
56	1
57	1
58	1
59	1
60	1
61	1
62	2
63	2
64	1
65	1
66	2
67	2
68	1
69	2
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	2
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	1
96	1
97	2
98	1
99	1
100	2
101	1
102	2
103	1
104	1
105	1
106	1
107	2
108	2
109	1
110	1
111	1
112	1
113	1
114	1
115	1
116	2
117	1
118	1
119	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
130	1
131	1
132	1
133	2
134	1
135	1
136	1
137	2
138	2
139	1
140	1
141	1
142	2
143	2
144	1
145	1
146	2
147	1
148	1
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	1
157	2
158	1
159	2
160	1
161	1
162	1
163	2
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	2
182	1
183	1
184	1
185	1
186	1
187	2
188	1
189	1
190	1
191	1
192	2
193	1
194	1
195	1
196	1
197	1
198	1
199	1
200	1
201	2
202	1
203	1
204	1
205	1
206	1
207	1
208	2
209	1
210	2
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	2
222	1
223	1
224	2
225	1
226	2
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	3
235	2
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	2
245	1
246	2
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	2
255	1
256	1
257	1
258	2
259	1
260	1
261	1
262	2
263	1
264	1
265	1
266	1
267	1
268	1
269	2
270	1
271	2
272	1
273	2
274	1
275	1
276	1
277	1
278	1
279	1
280	3
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	2
302	3
303	1
304	1
305	1
306	1
307	2
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	1
321	1
322	1
323	1
324	1
325	1
326	1
327	2
328	1
329	1
330	1
331	1
332	1
333	1
334	1
335	1
336	1
337	1
338	1
339	1
340	1
341	1
342	2
343	2
344	1
345	2
346	2
347	1
348	1
349	1
350	1
351	1
352	2
353	1
354	1
355	1
356	1
357	1
358	1
359	2
360	1
361	1
362	2
363	1
364	1
365	2
366	1
367	1
368	1
369	1
370	1
371	1
372	1
373	2
374	1
375	1
376	1
377	1
378	1
379	1
380	1
381	1
382	1
383	2
384	1
385	1
386	2
387	1
388	1
389	1
390	1
391	1
392	1
393	1
394	1
395	1
396	1
397	1
398	1
399	1
400	1
401	1
402	2
403	1
404	1
405	1
406	1
407	1
408	2
409	2
410	1
411	1
412	1
413	2
414	1
415	2
416	1
417	1
418	1
419	1
420	1
421	1
422	2
423	1
424	1
425	1
426	1
427	2
428	2
429	1
430	1
431	1
432	1
433	1
434	1
435	1
436	1
437	1
438	1
439	2
440	1
441	1
442	1
443	1
444	1
445	1
446	1
447	1
448	1
449	1
450	1
451	1
452	1
453	1
454	2
455	1
456	1
457	1
458	1
459	1
460	1
461	1
462	1
463	1
464	1
465	1
466	1
467	1
468	2
469	1
470	2
471	1
472	1
473	1
474	1
475	2
476	1
477	1
478	1
479	2
480	1
481	1
482	1
483	1
484	1
485	1
486	2
487	1
488	1
489	1
490	2
491	1
492	1
493	1
494	1
495	1
496	1
497	1
498	1
499	1
500	1
501	1
502	1
503	1
504	1
505	1
506	1
507	2
508	1
509	2
510	1
511	1
512	1
513	1
514	2
515	1
516	1
517	2
518	1
519	1
520	1
521	1
522	1
523	1
524	1
525	1
526	1
527	1
528	1
529	1
530	1
531	2
532	1
533	1
534	1
535	1
536	1
537	1
538	1
539	1
540	1
541	2
542	1
543	2
544	1
545	1
546	1
547	1
548	1
549	1
550	1
551	1
552	1
553	2
554	1
555	1
556	1
557	1
558	1
559	2
560	2
561	1
562	2
563	1
564	1
565	1
566	1
567	1
568	1
569	1
570	1
571	1
572	1
573	1
574	1
575	1
576	3
577	2
578	1
579	2
580	1
581	1
582	1
583	1
584	1
585	1
586	1
587	1
588	1
589	1
590	1
591	1
592	1
593	1
594	1
595	2
596	2
597	1
598	2
599	2
600	1
601	1
602	1
603	1
604	1
605	1
606	2
607	2
608	1
609	2
610	1
611	2
612	1
613	1
614	1
615	1
616	1
617	1
618	1
619	1
620	1
621	2
622	1
623	1
624	1
625	1
626	1
627	1
628	1
629	1
630	1
631	1
632	1
633	1
634	1
635	2
636	1
637	1
638	1
639	1
640	1
641	1
642	1
643	1
644	1
645	1
646	1
647	1
648	1
649	1
650	1
651	1
652	2
653	1
654	1
655	1
656	1
657	2
658	1
659	1
660	1
661	1
662	1
663	2
664	1
665	1
666	1
667	1
668	2
669	1
670	2
671	2
672	1
673	2
674	1
675	1
676	1
677	2
678	1
679	1
680	1
681	1
682	3
683	1
684	2
685	1
686	1
687	1
688	2
689	1
690	1
691	2
692	1
693	1
694	2
695	1
696	1
697	1
698	2
699	1
700	1
701	1
702	1
703	1
704	1
705	1
706	1
707	1
708	1
709	1
710	1
711	1
712	1
713	1
714	1
715	1
716	1
717	1
718	1
719	1
720	1
721	1
722	1
723	1
724	1
725	1
726	1
727	1
728	2
729	1
730	1
731	1
732	2
733	1
734	1
735	1
736	1
737	1
738	2
739	1
740	1
741	2
742	1
743	1
744	3
745	2
746	1
747	1
748	1
749	1
750	1
751	1
752	1
753	1
754	2
755	1
756	1
757	2
758	1
759	1
760	1
761	1
762	1
763	2
764	2
765	1
766	1
767	1
768	1
769	1
770	1
771	1
772	1
773	1
774	1
775	1
776	1
777	1
778	1
779	1
780	1
781	1
782	1
783	1
784	2
785	1
786	1
787	1
788	1
789	1
790	1
791	2
792	1
793	1
794	1
795	1
796	1
797	1
798	3
799	1
800	2
801	1
802	1
803	1
804	3
805	1
806	1
807	1
808	2
809	1
810	1
811	1
812	2
813	1
